Time,Login,Deposit,Closed P/L,Balance,Credit,Floating P/L,Equity,Used Margin,Free Margin
2023.06.29,125990,0,0,117.84,0,0,117.84,0,117.84
2023.06.29,125991,0,0,0.12,0,0,0.12,0,0.12
2023.06.29,125992,0,0,0,0,0,0,0,0
2023.06.29,125993,0,0,4.96,0,0,4.96,0,4.96
2023.06.29,125994,0,0,0,0,0,0,0,0
2023.06.29,125995,0,0,0,0,0,0,0,0
2023.06.29,125996,0,0,0.9,0,0,0.9,0,0.9
2023.06.29,125997,0,0,0,0,0,0,0,0
2023.06.29,125998,0,0,0,0,0,0,0,0
2023.06.29,125999,0,0,0.45,0,0,0.45,0,0.45
2023.06.29,126000,0,0,0,0,0,0,0,0
2023.06.29,126001,0,0,0,0,0,0,0,0
2023.06.29,126002,0,0,0,0,0,0,0,0
2023.06.29,126003,0,0,0,0,0,0,0,0
2023.06.29,126004,0,0,0,0,0,0,0,0
2023.06.29,126005,0,0,4.4,0,0,4.4,0,4.4
2023.06.29,126006,0,0,4.84,0,0,4.84,0,4.84
2023.06.29,126007,0,0,0,0,0,0,0,0
2023.06.29,126009,0,0,0,0,0,0,0,0
2023.06.29,126010,0,0,0,0,0,0,0,0
2023.06.29,126011,0,0,0,0,0,0,0,0
2023.06.29,126012,0,0,0,0,0,0,0,0
2023.06.29,126013,0,0,0,0,0,0,0,0
2023.06.29,126014,0,0,0,0,0,0,0,0
2023.06.29,126015,0,0,0,0,0,0,0,0
2023.06.29,126016,0,0,0,0,0,0,0,0
2023.06.29,126017,0,0,4.88,0,0,4.88,0,4.88
2023.06.29,126018,0,0,0,0,0,0,0,0
2023.06.29,126019,0,0,0,0,0,0,0,0
2023.06.29,126020,0,11021.62,45191.56,0,-7110.13,38081.43,14181.68,23899.75
2023.06.29,126021,0,0,0,0,0,0,0,0
2023.06.29,126022,0,0,0.02,0,0,0.02,0,0.02
2023.06.29,126023,0,0,0,0,0,0,0,0
2023.06.29,126024,0,0,0,0,0,0,0,0
2023.06.29,126025,0,0,100,0,0,100,0,100
2023.06.29,126026,0,145.92,691.7,0,-113.21,578.49,47.34,531.15
