Deal,Login,Open Time,Type,Symbol,Volume,Open Price,Close Time,Close Price,Commission,Taxes,Agent,Swap,Profit,Pips,Comment
528081,14629293,2023.06.29 01:20:21,buy,btcusd,0.01,30207,2023.06.29 06:42:24,30216,0,0,0,0,0.09,9,
528083,14629293,2023.06.29 01:24:15,buy,gbpcad,0.01,1.67497,2023.06.29 05:52:43,1.67501,0,0,0,0,0.03,4,
528085,14628529,2023.06.29 01:24:56,buy,nasusd,0.1,15034.6,2023.06.29 11:45:21,15029.5,0,0,0,0,-5.1,-51,
528086,14628534,2023.06.29 01:25:01,buy,gbpusd,0.3,1.26469,2023.06.29 03:03:37,1.26253,0,0,0,0,-64.8,-216,
528091,126039,2023.06.29 01:31:57,buy,xauusd,0.1,1911.78,2023.06.29 14:13:16,1908.08,0,0,0,0,-37,-370,
528092,14629039,2023.06.29 01:31:58,buy,nzdusd,0.1,0.60943,2023.06.29 01:44:49,0.60887,0,0,0,0,-5.6,-56,so: 16.9%/8.7/51.7
528093,14629039,2023.06.29 01:32:05,buy,nzdusd,0.1,0.60949,2023.06.29 01:34:51,0.60907,0,0,0,0,-4.2,-42,so: 29.3%/13.6/46.3
528095,14629039,2023.06.29 01:32:17,buy,nzdusd,0.1,0.60949,2023.06.29 01:44:49,0.60887,0,0,0,0,-6.2,-62,so: 13.6%/8.7/63.9
528101,14629039,2023.06.29 01:32:33,buy,nzdusd,0.02,0.60943,2023.06.29 01:36:29,0.60899,0,0,0,0,-0.88,-44,to #528104
528104,14629039,2023.06.29 01:32:33,buy,nzdusd,0.02,0.60943,2023.06.29 01:39:31,0.60894,0,0,0,0,-0.98,-49,to #528105
528105,14629039,2023.06.29 01:32:33,buy,nzdusd,0.04,0.60943,2023.06.29 01:44:49,0.60887,0,0,0,0,-2.24,-56,so: 22.1%/8.7/39.5
528108,14629039,2023.06.29 01:51:05,buy,nzdusd,0.02,0.60867,2023.06.29 01:55:09,0.60819,0,0,0,0,-0.96,-48,so: 29.3%/2.5/8.5
528109,14629039,2023.06.29 01:51:11,buy,nzdusd,0.02,0.60862,2023.06.29 02:00:20,0.60803,0,0,0,0,-1.18,-59,so: 29.6%/1.8/6.1
528111,14629039,2023.06.29 01:51:30,buy,nzdusd,0.02,0.60856,2023.06.29 02:03:53,0.60774,0,0,0,0,-1.64,-82,so: 22.7%/0.8/3.7
528112,14629039,2023.06.29 01:51:38,buy,nzdusd,0.01,0.60853,2023.06.29 02:04:34,0.60727,0,0,0,0,-1.26,-126,so: 29.6%/0.4/1.2
528113,14629180,2023.06.29 02:06:09,buy,xauusd,0.05,1907.97,2023.06.29 10:41:20,1908.23,0,0,0,0,1.3,26,
528114,14629180,2023.06.29 02:06:09,buy,xauusd,0.1,1907.97,2023.06.29 10:41:15,1908.23,0,0,0,0,2.6,26,
528115,55667823,2023.06.29 01:56:20,buy,xauusd,0.05,1909.74,2023.06.29 07:08:10,1903.46,0,0,0,0,-31.4,-628,
528116,2292031,2023.06.29 02:03:58,buy,xauusd,0.01,1909.29,2023.06.29 07:36:16,1906.62,0,0,0,0,-2.67,-267, [tp]
528118,126039,2023.06.29 02:08:48,buy,xauusd,0.1,1907.74,2023.06.29 10:43:02,1908.48,0,0,0,0,7.4,74,
528120,126026,2023.06.29 02:13:25,buy,xauusd,0.05,1907.01,2023.06.29 08:18:27,1907.53,0,0,0,0,2.6,52,[tp]
528121,14628529,2023.06.29 02:14:00,buy,xauusd,0.1,1906.59,2023.06.29 08:42:19,1907.42,0,0,0,0,8.3,83,
528122,14629293,2023.06.29 02:16:26,buy,xauusd,0.05,1906.31,2023.06.29 02:34:09,1906.76,0,0,0,0,2.25,45,
528123,2292031,2023.06.29 02:16:28,buy,xauusd,0.01,1906.24,2023.06.29 07:36:16,1906.62,0,0,0,0,0.38,38, [tp]
528124,126039,2023.06.29 02:16:54,buy,xauusd,0.1,1906.15,2023.06.29 10:39:47,1907.73,0,0,0,0,15.8,158,
528126,14628658,2023.06.29 02:17:14,buy,xauusd,0.05,1906.19,2023.06.29 11:21:14,1909.89,0,0,0,0,18.5,370,
528128,2257839,2023.06.29 02:17:47,buy,xauusd,0.03,1905.98,2023.06.29 08:31:31,1906.84,0,0,0,0,2.58,86,
528129,14629039,2023.06.29 02:18:23,buy,nzdusd,0.5,0.60736,2023.06.29 08:18:30,0.60866,0,0,0,0,65,130,to #528350
528130,14629293,2023.06.29 02:18:41,buy,usdchf,0.05,0.89802,2023.06.29 05:43:31,0.89835,0,0,0,0,1.84,33,
528131,14629039,2023.06.29 02:23:44,buy,usousd,0.01,69.447,2023.06.29 09:06:29,69.875,0,0,0,0,4.28,428,
528132,14629039,2023.06.29 02:23:50,buy,usousd,0.01,69.444,2023.06.29 09:06:35,69.874,0,0,0,0,4.3,430,
528133,14629039,2023.06.29 02:23:55,buy,usousd,0.01,69.441,2023.06.29 09:06:46,69.884,0,0,0,0,4.43,443,
528135,14629039,2023.06.29 02:24:52,buy,usousd,0.01,69.441,2023.06.29 09:06:40,69.876,0,0,0,0,4.35,435,
528136,14629039,2023.06.29 02:24:58,buy,usousd,0.01,69.441,2023.06.29 09:07:01,69.872,0,0,0,0,4.31,431,
528138,14629039,2023.06.29 02:25:14,buy,usousd,0.01,69.452,2023.06.29 09:06:51,69.881,0,0,0,0,4.29,429,
528139,14629039,2023.06.29 02:25:20,buy,usousd,0.01,69.454,2023.06.29 09:07:07,69.861,0,0,0,0,4.07,407,
528140,14629039,2023.06.29 02:34:00,buy,usousd,0.01,69.474,2023.06.29 09:06:56,69.865,0,0,0,0,3.91,391,
528141,14629039,2023.06.29 02:34:08,buy,usousd,0.01,69.472,2023.06.29 09:07:12,69.882,0,0,0,0,4.1,410,
528142,14629039,2023.06.29 02:34:37,buy,usousd,0.01,69.511,2023.06.29 10:52:22,69.805,0,0,0,0,2.94,294,
528143,876180,2023.06.29 02:37:59,buy,xauusd,0.05,1906.74,2023.06.29 11:42:00,1910.01,0,0,0,0,16.35,327,
528144,14629613,2023.06.29 02:41:22,buy,xauusd,0.01,1905.86,2023.06.29 11:18:48,1910,0,0,0,0,4.14,414,
528149,14629293,2023.06.29 02:42:18,buy,xauusd,0.01,1906.08,2023.06.29 08:20:43,1907.5,0,0,0,0,1.42,142,
528150,14629563,2023.06.29 02:43:12,buy,xauusd,0.1,1905.75,2023.06.29 08:18:09,1907.41,0,0,0,0,16.6,166,
528151,14629293,2023.06.29 02:47:50,buy,nasusd,0.03,15019.1,2023.06.29 09:44:02,15025.2,0,0,0,0,1.83,61,[tp]
528154,14629293,2023.06.29 02:53:30,buy,audusd,0.03,0.6608,2023.06.29 05:43:36,0.66119,0,0,0,0,1.17,39,
528155,14629293,2023.06.29 02:54:10,buy,audcad,0.01,0.87786,2023.06.29 08:16:00,0.87894,0,0,0,0,0.82,108,
528156,626188,2023.06.29 02:54:23,buy,xauusd,0.02,1905.53,2023.06.29 08:41:09,1907.22,0,0,0,0,3.38,169,
528157,14629293,2023.06.29 02:55:38,buy,nzdusd,0.01,0.60798,2023.06.29 06:08:16,0.60799,0,0,0,0,0.01,1,
528158,125984,2023.06.29 02:56:14,buy,xauusd,0.1,1905.95,2023.06.29 08:18:02,1907.4,0,0,0,0,14.5,145,
528159,14629293,2023.06.29 02:56:34,buy,nzdjpy,0.04,87.732,2023.06.29 05:44:00,87.837,0,0,0,0,2.91,105,
528161,14629293,2023.06.29 02:57:35,buy,nzdcad,0.01,0.80635,2023.06.29 05:43:45,0.8067,0,0,0,0,0.27,35,
528166,14629293,2023.06.29 03:08:23,buy,xauusd,0.05,1904,2023.06.29 03:43:47,1904.18,0,0,0,0,0.9,18,
528168,2292031,2023.06.29 03:09:07,buy,xauusd,0.02,1903.25,2023.06.29 07:36:16,1906.62,0,0,0,0,6.74,337, [tp]
528169,126039,2023.06.29 03:09:26,buy,xauusd,0.1,1903.36,2023.06.29 03:56:54,1905.1,0,0,0,0,17.4,174,
528204,2456243,2023.06.29 03:55:16,buy,xauusd,0.01,1905.28,2023.06.29 06:29:05,1902.59,0,0,0,0,-2.69,-269,[sl]
528206,2004650,2023.06.29 03:40:46,buy,xauusd,24.9,1903.95,2023.06.29 06:07:17,1904.74,0,0,0,0,1967.1,79,
528207,14629293,2023.06.29 12:53:27,buy,xauusd,0.05,1896.99,2023.06.29 13:50:46,1897.85,0,0,0,0,4.3,86,
528209,126028,2023.06.29 03:54:15,buy,xauusd,0.01,1905.14,2023.06.29 07:58:44,1905.3,0,0,0,0,0.16,16,
528210,2398823,2023.06.29 03:55:36,buy,xauusd,0.1,1905.32,2023.06.29 08:17:47,1907.02,0,0,0,0,17,170,[tp]
528212,120097,2023.06.29 03:55:36,buy,xauusd,0.03,1905.34,2023.06.29 08:17:47,1907.02,0,0,0,0,5.04,168,
